ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM
2024,11380,은평구,10700,응암동,1,대지,0091,0007,CJ드림시티,20240131,12900,24.84,34.07,15.0,,,2004,오피스텔,중개거래,서울 은평구
2024,11140,중구,14500,광희동1가,1,대지,0089,0001,광희동금호트윈 오피스텔,20240131,9850,21.96,31.13,14.0,,,1999,오피스텔,중개거래,서울 중구
2024,11740,강동구,10900,천호동,1,대지,0039,0009,미래위너스,20240131,26400,29.96,19.16,4.0,,,2016,연립다세대,중개거래,서울 강동구
2024,11710,송파구,11300,거여동,1,대지,0605,0000,휴먼빌 시티,20240131,18000,24.15,35.41,4.0,,,2020,오피스텔,중개거래,서울 송파구
2024,11530,구로구,10200,구로동,1,대지,0044,0008,비즈트위트 오렌지,20240131,15000,20.8,31.43,8.0,,,2013,오피스텔,중개거래,서울 영등포구
2024,11530,구로구,11000,온수동,1,대지,0086,0010,에코그린빌,20240131,23900,29.56,23.85,2.0,,,2019,연립다세대,직거래,
2024,11380,은평구,10900,신사동,1,대지,0355,0000,현대2,20240131,55800,84.83,0.0,4.0,,,1994,아파트,중개거래,서울 은평구
2024,11620,관악구,10200,신림동,1,대지,0571,0005,모던하우스,20240131,21000,26.82,15.56,5.0,,,2019,연립다세대,직거래,
2024,11500,강서구,10100,염창동,1,대지,0253,0006,링크253,20240131,21500,28.35,13.2,2.0,,,2016,연립다세대,중개거래,서울 강서구
2024,11500,강서구,10800,공항동,1,대지,0676,0001,칠성하이츠빌,20240131,15000,35.36,20.75,3.0,,,2007,연립다세대,중개거래,서울 강서구
2024,11500,강서구,10500,마곡동,1,대지,0758,0001,마곡럭스나인오피스텔 엘동,20240131,15600,21.87,32.94,5.0,,,2017,오피스텔,중개거래,서울 강서구
2024,11590,동작구,10700,사당동,1,대지,0321,0025,에덴빌,20240130,55000,83.38,47.27,4.0,,,2008,연립다세대,직거래,
2024,11500,강서구,10300,화곡동,1,대지,0926,0005,한양아이클래스,20240130,9400,13.79,0.0,10.0,,,2013,아파트,중개거래,서울 영등포구
2024,11560,영등포구,12800,양평동4가,1,대지,0257,0000,양화빌4차,20240130,28000,25.57,16.2,5.0,,,2016,연립다세대,중개거래,서울 영등포구
2024,11740,강동구,10800,성내동,1,대지,0564,0003,로뎀하우스,20240130,37800,53.87,30.76,2.0,,,2012,연립다세대,중개거래,서울 강동구
2024,11380,은평구,10800,역촌동,1,대지,0006,0034,산촌드림빌,20240130,20800,64.58,35.03,5.0,,,2003,연립다세대,중개거래,"서울 성북구, 서울 은평구"
2024,11260,중랑구,10100,면목동,1,대지,1543,0000,한양수자인사가정파크,20240130,80000,84.99,0.0,7.0,,,2019,아파트,중개거래,서울 광진구
2024,11260,중랑구,10100,면목동,1,대지,0142,0038,부남빌라,20240130,22000,40.85,18.47,-1.0,,,1997,연립다세대,중개거래,서울 중랑구
2024,11440,마포구,11100,신수동,1,대지,0426,0004,도시빌라,20240130,45700,84.3,37.52,1.0,,,1995,연립다세대,중개거래,서울 마포구
2024,11740,강동구,10900,천호동,1,대지,0090,0002,도우빌라,20240130,36700,48.69,46.66,-1.0,,,1991,연립다세대,중개거래,서울 강동구
2024,11740,강동구,10500,길동,1,대지,0343,0002,현대웰하임(201동),20240130,8000,14.47,0.0,2.0,,,2012,아파트,중개거래,서울 강동구
2024,11500,강서구,10300,화곡동,1,대지,0867,0002,더하우스,20240130,18700,29.86,27.82,5.0,,,2017,연립다세대,직거래,
2024,11530,구로구,10700,개봉동,1,대지,0108,0019,혜성팰리스,20240130,20800,22.1,13.84,7.0,,,2019,연립다세대,직거래,
2024,11710,송파구,11300,거여동,1,대지,0178,0006,인투파크거여,20240130,27000,23.32,11.0,2.0,,,2020,연립다세대,중개거래,서울 송파구
2024,11230,동대문구,10900,휘경동,1,대지,0258,0000,리브인,20240130,34000,29.95,35.77,6.0,,,2022,오피스텔,중개거래,"경기 성남수정구, 서울 동대문구"
2024,11140,중구,12100,회현동1가,,,,,,20240130,25000,19.83,43.0,0.0,,,1946,단독다가구,중개거래,서울 중구
2024,11305,강북구,10200,번동,1,대지,0148,0165,일승주택,20240130,22000,43.01,22.92,2.0,,,1992,연립다세대,직거래,
2024,11140,중구,17400,만리동2가,1,대지,0176,0001,서울역센트럴자이,20240130,185000,89.9,0.0,3.0,,,2017,아파트,중개거래,서울 용산구
2024,11320,도봉구,10800,도봉동,1,대지,0051,0012,중흥에스-클래스,20240130,55000,85.0,0.0,3.0,,,2004,아파트,중개거래,서울 도봉구
2024,11410,서대문구,10300,합동,1,대지,0116,0000,SK리쳄블,20240130,22000,34.22,46.81,6.0,,,2005,오피스텔,직거래,
2024,11350,노원구,10500,상계동,1,대지,0147,0007,풀하우스,20240130,28600,29.9,20.97,2.0,,,2014,연립다세대,중개거래,서울 노원구
2024,11620,관악구,10100,봉천동,1,대지,0706,0013,다세대주택(706-13),20240130,16300,22.74,17.15,2.0,,,2019,연립다세대,중개거래,서울 관악구
2024,11740,강동구,10900,천호동,1,대지,0142,0030,골드센텀,20240130,37000,44.91,29.04,5.0,,,2022,연립다세대,직거래,
2024,11380,은평구,10800,역촌동,1,대지,0057,0018,가람채,20240130,23100,29.97,19.34,2.0,,,2016,연립다세대,중개거래,"서울 서대문구, 서울 은평구"
2024,11560,영등포구,10200,영등포동1가,1,대지,0121,0005,여의도리슈빌DS,20240130,20600,21.41,31.43,7.0,,,2020,오피스텔,중개거래,서울 영등포구
2024,11560,영등포구,10200,영등포동1가,1,대지,0127,0000,신한헤스티아,20240130,12000,18.01,28.65,9.0,,20240130,2016,오피스텔,직거래,
2024,11710,송파구,10200,신천동,1,대지,0007,0000,장미1,20240130,195800,82.45,0.0,7.0,,,1979,아파트,중개거래,서울 송파구
2024,11545,금천구,10200,독산동,1,대지,1006,0115,중앙하이빌1동2동,20240130,23000,28.68,14.88,4.0,,,2016,연립다세대,직거래,
2024,11500,강서구,10500,마곡동,1,대지,0776,0002,마곡센트럴대방디엠시티오피스텔,20240130,17500,24.02,34.5,9.0,,,2017,오피스텔,중개거래,서울 강서구
2024,11530,구로구,10200,구로동,1,대지,0166,0034,유니아트빌,20240130,36500,52.17,26.25,2.0,,,2019,연립다세대,중개거래,서울 구로구
2024,11620,관악구,10100,봉천동,1,대지,1717,0000,관악푸르지오,20240130,73000,59.58,0.0,8.0,,,2004,아파트,중개거래,서울 관악구
2024,11200,성동구,10700,행당동,1,대지,0298,0086,에뜨롬행당,20240130,58000,35.65,18.32,7.0,,,2023,연립다세대,직거래,
2024,11530,구로구,10200,구로동,1,대지,0166,0034,유니아트빌,20240130,28000,52.17,26.25,2.0,,20240130,2019,연립다세대,중개거래,서울 구로구
2024,11230,동대문구,10600,장안동,1,대지,0415,0010,글로벌팰리스,20240130,28000,22.79,0.0,14.0,,,2019,아파트,중개거래,서울 동대문구
2024,11590,동작구,10300,상도1동,1,대지,0419,0003,종로빌리지,20240130,40000,69.13,48.37,3.0,,,1991,연립다세대,중개거래,서울 강남구
2024,11680,강남구,10800,논현동,1,대지,0249,0009,아츠논현,20240130,148510,38.99,0.0,14.0,분양권,,0,아파트,직거래,
2024,11350,노원구,10200,월계동,1,대지,0436,0000,동신,20240129,62000,92.84,0.0,4.0,,,1983,아파트,중개거래,서울 노원구
2024,11530,구로구,10200,구로동,1,대지,0469,0005,현대가우스빌(469-5),20240129,30000,43.62,26.73,5.0,,,2016,연립다세대,중개거래,서울 금천구
2024,11230,동대문구,10300,제기동,1,대지,1213,0000,어진재,20240129,16300,15.61,0.0,3.0,,,2014,아파트,중개거래,서울 동대문구
2024,11710,송파구,11100,방이동,1,대지,0022,0005,잠실리시온,20240129,40000,43.05,56.73,10.0,,,2004,오피스텔,중개거래,서울 송파구
2024,11680,강남구,10600,대치동,1,대지,0511,0000,한보미도맨션2,20240129,325000,126.33,0.0,3.0,,,1985,아파트,중개거래,서울 강남구
2024,11110,종로구,16600,연건동,1,대지,0101,0000,예림주택,20240129,16500,30.3,11.44,-1.0,,,2000,연립다세대,직거래,
2024,11440,마포구,12300,망원동,1,대지,0475,0018,새롬빌라,20240129,29500,43.6,26.98,4.0,,,2002,연립다세대,중개거래,서울 마포구
2024,11650,서초구,10800,서초동,1,대지,1328,0011,대우도씨에빛2,20240129,39000,38.81,50.85,16.0,,,2005,오피스텔,중개거래,서울 서초구
2024,11500,강서구,10500,마곡동,1,대지,0760,0000,마곡나루역보타닉푸르지오시티,20240129,23000,22.2,31.65,12.0,,,2017,오피스텔,중개거래,서울 양천구
2024,11200,성동구,10900,금호동1가,1,대지,0280,0000,이편한세상금호파크힐스,20240129,135000,59.98,0.0,17.0,,,2019,아파트,중개거래,서울 성동구
2024,11350,노원구,10300,공릉동,1,대지,0513,0006,로얄팰리스,20240129,31504,58.28,30.2,2.0,,,2022,연립다세대,직거래,
2024,11320,도봉구,10700,창동,1,대지,0609,0137,현대빌라(609-137),20240129,15000,35.4,16.69,2.0,,,1991,연립다세대,직거래,
2024,11200,성동구,12200,용답동,1,대지,0121,0000,청계 SK VIEW,20240129,95815,59.87,0.0,34.0,입주권,,0,아파트,직거래,
2024,11230,동대문구,10900,휘경동,1,대지,0336,0032,캠퍼스드림오피스텔,20240129,20500,16.04,0.0,14.0,,,2020,아파트,중개거래,서울 동대문구
2024,11350,노원구,10300,공릉동,1,대지,0513,0006,로얄팰리스,20240129,31504,52.92,27.42,5.0,,,2022,연립다세대,직거래,
2024,11350,노원구,10300,공릉동,1,대지,0513,0006,로얄팰리스,20240129,31504,50.13,25.98,6.0,,,2022,연립다세대,직거래,
2024,11350,노원구,10300,공릉동,1,대지,0513,0006,로얄팰리스,20240129,31504,43.37,22.47,6.0,,,2022,연립다세대,직거래,
2024,11350,노원구,10300,공릉동,1,대지,0513,0006,로얄팰리스,20240129,31504,53.19,27.56,5.0,,,2022,연립다세대,직거래,
2024,11530,구로구,10200,구로동,1,대지,0097,0000,로제리움2차,20240129,10000,19.74,27.82,6.0,,,2014,오피스텔,중개거래,서울 구로구
2024,11290,성북구,13500,종암동,1,대지,0128,0000,극동,20240129,63000,59.67,0.0,6.0,,,2000,아파트,중개거래,서울 성북구
2024,11350,노원구,10300,공릉동,1,대지,0513,0006,로얄팰리스,20240129,31504,58.04,30.07,4.0,,,2022,연립다세대,직거래,
2024,11350,노원구,10300,공릉동,1,대지,0513,0006,로얄팰리스,20240129,31504,58.19,30.15,3.0,,,2022,연립다세대,직거래,
2024,11140,중구,16200,신당동,1,대지,0140,0023,신당역솔하임,20240129,17000,14.08,0.0,14.0,,,2016,아파트,중개거래,서울 중구
2024,11230,동대문구,10700,청량리동,1,대지,0234,0002,현대,20240129,52000,82.18,0.0,1.0,,,1987,아파트,직거래,
2024,11470,양천구,10100,신정동,1,대지,0128,0044,DH프라임,20240129,36400,44.64,27.75,4.0,,,2016,연립다세대,중개거래,서울 양천구
2024,11545,금천구,10100,가산동,1,대지,0139,0003,램킨푸르지오시티,20240129,10800,21.38,30.63,9.0,,,2013,오피스텔,직거래,
2024,11530,구로구,10200,구로동,1,대지,0807,0023,(807-23),20240129,14000,39.81,0.0,1.0,,,1997,아파트,중개거래,서울 영등포구
2024,11560,영등포구,11500,당산동5가,1,대지,0009,0003,당산역해링턴타워,20240129,21500,23.92,33.23,13.0,,,2015,오피스텔,중개거래,서울 영등포구
2024,11290,성북구,13500,종암동,1,대지,0128,0000,극동,20240129,76000,114.75,0.0,12.0,,,2000,아파트,중개거래,서울 성북구
2024,11710,송파구,10200,신천동,1,대지,0017,0000,파크리오,20240129,200000,84.9,0.0,19.0,,,2008,아파트,직거래,
2024,11200,성동구,12200,용답동,1,대지,0052,0009,DDOSTARCITY,20240129,51500,29.99,18.87,3.0,,,2023,연립다세대,중개거래,"서울 강남구, 서울 성동구"
2024,11350,노원구,10300,공릉동,1,대지,0513,0006,로얄팰리스,20240129,31504,58.28,30.15,3.0,,,2022,연립다세대,직거래,
2024,11230,동대문구,10400,전농동,1,대지,0127,0038,현대캐슬(127-38),20240129,40000,29.91,18.19,6.0,,,2018,연립다세대,중개거래,서울 동대문구
2024,11530,구로구,10200,구로동,1,대지,0611,0026,구로동복합건물OPUS1,20240129,14950,31.2,40.59,9.0,,,2004,오피스텔,중개거래,서울 구로구
2024,11740,강동구,10900,천호동,1,대지,0290,0013,신주리버빌,20240129,33700,26.4,18.02,3.0,,,2020,연립다세대,중개거래,서울 강동구
2024,11350,노원구,10300,공릉동,1,대지,0513,0006,로얄팰리스,20240129,31504,58.28,30.2,4.0,,,2022,연립다세대,직거래,
2024,11680,강남구,10300,개포동,1,대지,0660,0001,디에이치 퍼스티어 아이파크,20240129,74881,35.0,0.0,17.0,분양권,,0,아파트,중개거래,경기 하남시
2024,11545,금천구,10200,독산동,1,대지,0905,0031,지오빌,20240129,20500,33.53,22.56,2.0,,,2013,연립다세대,중개거래,서울 관악구
2024,11620,관악구,10100,봉천동,1,대지,0870,0001,해주타워,20240129,10700,22.0,31.55,7.0,,,2000,오피스텔,중개거래,서울 관악구
2024,11320,도봉구,10600,방학동,1,대지,0624,0018,더하우스11차,20240129,12000,44.01,25.05,4.0,,,2008,연립다세대,중개거래,서울 도봉구
2024,11350,노원구,10300,공릉동,1,대지,0513,0006,로얄팰리스,20240129,31504,58.19,30.15,2.0,,,2022,연립다세대,직거래,
2024,11350,노원구,10200,월계동,1,대지,0929,0000,현대,20240129,84500,114.99,0.0,16.0,,,2000,아파트,중개거래,서울 노원구
2024,11320,도봉구,10500,쌍문동,1,대지,0069,0005,푸른숲빌(A동),20240129,28000,43.9,28.69,3.0,,,2017,연립다세대,직거래,
2024,11500,강서구,10200,등촌동,1,대지,0078,0007,길훈엔트런스빌,20240129,16000,27.29,40.42,7.0,,,2004,오피스텔,중개거래,서울 강서구
2024,11410,서대문구,10300,합동,1,대지,0116,0000,SK리쳄블,20240129,26400,41.57,56.87,12.0,,,2005,오피스텔,중개거래,"서울 서대문구, 서울 중구"
2024,11380,은평구,10200,녹번동,1,대지,0281,0000,북한산푸르지오,20240129,79000,59.99,0.0,3.0,,,2015,아파트,중개거래,서울 은평구
2024,11545,금천구,10300,시흥동,1,대지,1013,0000,관악산벽산타운5,20240129,57900,84.97,0.0,10.0,,,2004,아파트,중개거래,서울 금천구
2024,11500,강서구,10300,화곡동,1,대지,0918,0015,(918-15),20240129,8000,33.37,41.77,6.0,,,1997,오피스텔,직거래,
2024,11500,강서구,10300,화곡동,1,대지,0056,0347,화성빌라(56-347),20240129,16850,42.0,20.24,4.0,,,2002,연립다세대,중개거래,서울 강서구
2024,11380,은평구,10900,신사동,1,대지,0005,0042,삼원제우스(5-42),20240129,30000,45.64,26.54,4.0,,,2016,연립다세대,직거래,
2024,11140,중구,16200,신당동,1,대지,0846,0000,신당동파라다이스,20240129,82000,84.77,0.0,6.0,,,2000,아파트,중개거래,서울 중구
2024,11500,강서구,10300,화곡동,1,대지,0056,0323,화성빌라A동(56-323),20240129,8000,28.53,13.35,4.0,,,2001,연립다세대,직거래,
2024,11215,광진구,10500,자양동,1,대지,0610,0027,(610-27),20240129,23800,39.27,25.62,1.0,,,1986,연립다세대,중개거래,서울 광진구
2024,11230,동대문구,10200,용두동,1,대지,0787,0000,동의보감타워,20240129,17000,36.02,49.34,14.0,,,2005,오피스텔,중개거래,서울 동대문구
2024,11620,관악구,10200,신림동,1,대지,1726,0000,우정하이비전2,20240129,70000,84.58,0.0,12.0,,,2004,아파트,중개거래,서울 관악구
2024,11230,동대문구,10900,휘경동,1,대지,0319,0005,휘경동 코업레지던스,20240129,6800,13.86,19.02,3.0,,,2002,오피스텔,중개거래,서울 동대문구
2024,11410,서대문구,11800,홍은동,1,대지,0463,0000,동원베네스트,20240129,69000,105.05,0.0,2.0,,,2012,아파트,중개거래,서울 서대문구
2024,11200,성동구,10400,도선동,1,대지,0257,0000,왕십리렉스프리미엄오피스텔,20240129,24500,18.63,27.45,9.0,,,2020,오피스텔,중개거래,서울 성동구
2024,11380,은평구,10800,역촌동,1,대지,0011,0044,명진하이빌(11-44),20240128,29000,44.16,29.42,4.0,,,2014,연립다세대,중개거래,서울 은평구
2024,11215,광진구,10500,자양동,1,대지,0229,0044,아데나팰리스2차,20240128,32000,26.57,18.3,5.0,,,2016,연립다세대,중개거래,서울 광진구
2024,11200,성동구,10200,하왕십리동,1,대지,0990,0000,한신무학,20240128,103000,114.59,0.0,3.0,,,1989,아파트,중개거래,서울 성동구
2024,11710,송파구,11300,거여동,1,대지,0178,0006,인투파크거여,20240128,23000,18.69,8.82,2.0,,,2020,연립다세대,직거래,
2024,11530,구로구,10800,오류동,1,대지,0171,0008,양지마을(171-8),20240128,45800,59.58,33.28,4.0,,,2022,연립다세대,직거래,
2024,11500,강서구,10300,화곡동,1,대지,1129,0023,무지개빌라2차,20240128,16500,32.88,22.0,3.0,,,1991,연립다세대,중개거래,서울 강서구
2024,11380,은평구,10400,갈현동,1,대지,0539,0000,한솔,20240128,46200,59.94,0.0,11.0,,,1997,아파트,중개거래,서울 은평구
2024,11560,영등포구,10300,영등포동2가,1,대지,0332,0003,밀레니엄시티,20240127,22500,27.37,39.55,11.0,,,2018,오피스텔,중개거래,서울 영등포구
2024,11260,중랑구,10100,면목동,1,대지,0715,0000,늘푸른동아,20240127,59500,59.65,0.0,12.0,,,2002,아파트,중개거래,서울 중랑구
2024,11740,강동구,10200,고덕동,1,대지,0312,0000,배재현대,20240127,86000,59.94,0.0,18.0,,,1995,아파트,중개거래,서울 강동구
2024,11470,양천구,10200,목동,1,대지,0538,0028,목동하이츠빌라비동,20240127,27000,44.59,21.3,3.0,,,1994,연립다세대,중개거래,서울 양천구
2024,11320,도봉구,10700,창동,1,대지,0007,0000,월가타워,20240127,9500,15.49,0.0,12.0,,,2013,아파트,중개거래,서울 도봉구
2024,11380,은평구,11400,진관동,1,대지,0102,0000,박석고개1단지힐스테이트(116~131동)BL2-1,20240127,78500,59.85,0.0,4.0,,,2009,아파트,중개거래,서울 은평구
2024,11260,중랑구,10400,묵동,1,대지,0302,0009,양지빌라트(302-9),20240127,28500,67.35,30.05,4.0,,,2003,연립다세대,중개거래,서울 중랑구
2024,11440,마포구,12500,성산동,1,대지,0593,0001,벽산상암스마트큐브,20240127,14800,19.2,28.1,5.0,,,2017,오피스텔,중개거래,서울 서초구
2024,11740,강동구,10700,암사동,1,대지,0414,0002,롯데캐슬퍼스트,20240127,112500,59.99,0.0,28.0,,,2008,아파트,중개거래,서울 강동구
2024,11440,마포구,10300,신공덕동,1,대지,0001,0048,갑을명가시티2,20240127,12500,16.76,25.62,5.0,,,null,오피스텔,중개거래,서울 강남구
2024,11230,동대문구,10900,휘경동,1,대지,0246,0000,맥스타워,20240127,17000,16.76,25.95,3.0,,,2021,오피스텔,중개거래,서울 동대문구
2024,11380,은평구,10800,역촌동,1,대지,0041,0034,현대공간아트(41-34),20240127,19500,46.28,20.51,3.0,,,1994,연립다세대,중개거래,서울 은평구
2024,11740,강동구,10800,성내동,1,대지,0410,0002,중앙하이츠,20240127,55000,61.36,0.0,4.0,,,2001,아파트,중개거래,서울 강동구
2024,11740,강동구,10700,암사동,1,대지,0510,0027,(510-27),20240127,24000,34.18,21.94,3.0,,,2013,연립다세대,중개거래,서울 강동구
2024,11380,은평구,11400,진관동,1,대지,0100,0003,아이파크 포레스트 게이트,20240127,14000,24.91,35.78,27.0,,,2013,오피스텔,중개거래,서울 은평구
2024,11380,은평구,10500,구산동,1,대지,0023,0018,고은집B,20240127,21500,63.62,24.89,4.0,,,2003,연립다세대,중개거래,서울 은평구
2024,11215,광진구,10500,자양동,1,대지,0813,0000,광진하우스토리한강,20240127,155700,143.36,0.0,13.0,,,2008,아파트,직거래,
2024,11590,동작구,10200,상도동,1,대지,0410,0000,현대201동,20240127,59900,59.91,0.0,4.0,,20240130,1995,아파트,중개거래,서울 관악구
2024,11440,마포구,12600,중동,1,대지,0398,0000,울트라월드컵(참누리),20240127,104500,84.94,0.0,13.0,,,2006,아파트,중개거래,서울 마포구
2024,11530,구로구,10100,신도림동,1,대지,0337,0000,신도림1차푸르지오,20240127,68000,78.03,114.24,6.0,,,2007,오피스텔,중개거래,서울 구로구
2024,11470,양천구,10300,신월동,1,대지,0469,0002,조은빌리지,20240127,21000,38.67,23.07,3.0,,20240129,2014,연립다세대,중개거래,서울 성북구
2024,11590,동작구,10100,노량진동,1,대지,0325,0000,신동아리버파크,20240127,102000,84.88,0.0,22.0,,,2001,아파트,중개거래,서울 동작구
2024,11560,영등포구,12400,문래동6가,1,대지,0038,0001,문래베어스타운,20240127,80500,59.95,0.0,11.0,,,1997,아파트,중개거래,서울 영등포구
2024,11200,성동구,10200,하왕십리동,1,대지,1064,0000,왕십리지웰,20240127,61000,84.96,0.0,7.0,,,2009,아파트,직거래,
2024,11710,송파구,11100,방이동,1,대지,0157,0000,방이금호어울림,20240127,99000,84.3,0.0,1.0,,,2001,아파트,중개거래,서울 송파구
2024,11710,송파구,10700,가락동,1,대지,0140,0000,가락(1차)쌍용아파트,20240127,109500,59.92,0.0,7.0,,,1997,아파트,중개거래,서울 송파구
2024,11380,은평구,10500,구산동,1,대지,0211,0005,중앙하이츠빌,20240127,23000,53.1,28.62,2.0,,,2009,연립다세대,중개거래,"서울 은평구, 인천 서구"
2024,11500,강서구,10800,공항동,1,대지,0053,0093,수명그린빌에이동비동,20240127,30000,39.72,27.05,2.0,,,2016,연립다세대,중개거래,서울 강서구
2024,11470,양천구,10300,신월동,1,대지,0987,0001,신월시영,20240127,60000,59.49,0.0,10.0,,,1988,아파트,중개거래,서울 양천구
